__time,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/header/seq,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/header/stamp,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/rotation/w,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/rotation/x,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/rotation/y,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/rotation/z,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/translation/x,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/translation/y,/tf//vicon/world/vicon/kris_crazyflie/kris_crazyflie/translation/z,/tf//vicon/world/vicon/marker_wand/marker_wand/header/seq,/tf//vicon/world/vicon/marker_wand/marker_wand/header/stamp,/tf//vicon/world/vicon/marker_wand/marker_wand/rotation/w,/tf//vicon/world/vicon/marker_wand/marker_wand/rotation/x,/tf//vicon/world/vicon/marker_wand/marker_wand/rotation/y,/tf//vicon/world/vicon/marker_wand/marker_wand/rotation/z,/tf//vicon/world/vicon/marker_wand/marker_wand/translation/x,/tf//vicon/world/vicon/marker_wand/marker_wand/translation/y,/tf//vicon/world/vicon/marker_wand/marker_wand/translation/z,/tf/vicon/world/map/header/seq,/tf/vicon/world/map/header/stamp,/tf/vicon/world/map/rotation/w,/tf/vicon/world/map/rotation/x,/tf/vicon/world/map/rotation/y,/tf/vicon/world/map/rotation/z,/tf/vicon/world/map/translation/x,/tf/vicon/world/map/translation/y,/tf/vicon/world/map/translation/z
1690412546.886092,156063.000000000,1690412546.871073008,0.996789603,-0.009111403,-0.013766878,0.078345030,0.009675054,2.075431967,-0.000351802,,,,,,,,,,,,,,,,,,
1690412546.894425,0.000000000,1690412546.879466772,0.996789007,-0.008913835,-0.013632164,0.078398873,0.009660670,2.075455612,-0.000351871,0.000000000,1690412546.879466772,0.999798947,-0.000010833,0.002295417,-0.019919756,0.378627731,-0.025591360,-0.029764774,,,,,,,,,
1690412546.894763,156064.000000000,1690412546.879466772,0.996789007,-0.008913835,-0.013632164,0.078398873,0.009660670,2.075455612,-0.000351871,,,,,,,,,,,,,,,,,,
1690412546.894776,,,,,,,,,,,,,,,,,,,0.000000000,1690412546.894540787,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412546.902609,0.000000000,1690412546.887831926,0.996788312,-0.008959064,-0.013542425,0.078418108,0.009659592,2.075459804,-0.000368692,0.000000000,1690412546.887831926,0.999798417,-0.000053988,0.002300134,-0.019945740,0.378619128,-0.025591093,-0.029762964,,,,,,,,,
1690412546.902810,156065.000000000,1690412546.887831926,0.996788312,-0.008959064,-0.013542425,0.078418108,0.009659592,2.075459804,-0.000368692,,,,,,,,,,,,,,,,,,
1690412546.902921,,,,,,,,,,,,,,,,,,,0.000000000,1690412546.902744770,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1690412546.910999,0.000000000,1690412546.896080256,0.996779310,-0.008842339,-0.013516606,0.078550128,0.009650307,2.075476346,-0.000365411,0.000000000,1690412546.896080256,0.999798522,-0.000116325,0.002360909,-0.019933064,0.378614351,-0.025594275,-0.029762137,,,,,,,,,
1690412546.911259,156066.000000000,1690412546.896080256,0.996779310,-0.008842339,-0.013516606,0.078550128,0.009650307,2.075476346,-0.000365411,,,,,,,,,,,,,,,,,,
1690412546.911272,,,,,,,,,,,,,,,,,,,0.000000000,1690412546.911042452,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
